caseid,srv_spend,campfin,immig_legal,immig_numb,equalpay,parleave,crimespend,death,terror_worry,minwage,healthspend,childcare,getahead,freetrade
362,2,1,7,7,1,2,2,1,9,1,3,6,1,7
363,6,3,4,4,1,1,4,1,2,3,1,1,2,2
364,1,4,2,4,4,4,5,3,5,4,4,4,2,5
365,2,4,1,2,3,5,3,3,2,2,4,4,3,5
366,1,1,3,4,1,1,2,1,1,2,7,7,3,6
367,7,7,1,4,1,1,1,4,9,1,1,1,3,4
368,4,4,4,5,1,3,3,4,3,1,2,2,2,4
369,4,4,6,7,2,3,3,3,9,1,4,4,2,3
370,997,4,6,7,1,3,2,3,9,1,1,4,2,4
371,1,4,6,7,2,3,1,1,9,2,7,3,4,3
372,1,4,1,4,1,6,4,4,3,4,6,6,4,1
373,1,4,4,7,1,7,4,1,1,1,7,7,3,4
374,6,2,7,7,4,3,4,2,4,1,3,4,4,3
375,2,6,7,7,1,4,1,1,2,1,1,4,4,4
376,2,7,2,3,7,7,5,2,1,2,4,5,4,7
377,1,7,1,2,4,7,5,7,9,2,4,5,4,1
378,2,7,7,7,3,4,4,4,9,2,7,5,1,6
379,1,7,4,6,4,6,2,7,1,4,8,7,4,2
380,3,4,2,5,4,4,4,1,9,2,7,7,4,6
381,7,4,6,4,2,2,2,3,1,1,3,3,1,6
382,5,1,1,1,1,1,2,7,9,1,1,1,3,1
383,4,4,4,6,1,1,4,3,5,1,3,1,2,4
384,6,1,1,4,1,1,1,7,9,1,1,1,2,2
385,3,1,1,7,4,7,2,1,1,2,2,4,4,7
386,4,4,2,4,1,1,2,1,2,1,2,2,2,1
387,6,4,4,4,4,4,4,4,3,2,4,4,3,4
388,4,1,3,4,3,2,4,5,9,1,4,4,3,2
389,1,4,6,2,4,1,2,1,9,1,1,7,1,7
390,7,1,1,3,1,1,2,1,1,1,2,1,2,7
391,1,2,3,4,1,5,4,2,3,1,4,4,2,4
392,997,4,4,4,4,4,4,4,9,1,1,1,3,4
393,5,4,4,4,4,4,4,4,9,2,2,3,3,4
394,2,3,2,3,4,2,3,1,1,2,5,3,3,3
395,2,5,2,5,2,4,2,1,1,1,3,4,3,6
396,1,1,7,6,4,4,3,2,2,2,7,6,2,4
397,1,3,1,5,7,7,3,7,3,4,7,7,3,5
398,997,1,4,4,2,1,2,5,9,1,2,2,2,4
399,997,4,4,7,1,2,2,2,9,1,3,3,2,4
400,1,4,2,4,4,3,5,1,9,2,7,7,5,3
401,7,3,3,4,1,2,2,2,1,1,2,1,4,3
402,3,4,1,2,1,4,1,1,1,1,7,4,4,1
403,4,1,1,6,1,1,4,1,1,1,2,3,2,5
404,1,1,1,5,1,2,3,1,1,2,5,4,3,6
405,6,1,2,4,1,2,2,4,5,1,2,2,3,3
406,5,7,3,6,2,2,5,4,5,1,3,4,2,4
407,2,4,2,5,4,4,5,2,9,4,4,6,4,2
408,5,4,2,4,1,1,3,1,9,1,2,2,2,2
409,1,4,4,6,4,7,4,1,5,2,7,7,2,5
410,1,1,5,6,1,1,2,1,1,1,3,3,1,4
411,5,1,1,3,1,2,4,6,9,1,3,4,3,4
412,4,1,1,4,1,4,1,1,1,2,4,4,5,4
413,1,4,2,2,7,4,7,1,2,4,7,7,3,4
414,3,7,4,6,1,2,2,1,9,1,5,3,1,3
415,5,1,2,4,1,1,2,7,3,1,1,2,3,3
416,2,5,5,4,1,1,3,1,1,1,2,4,2,4
417,1,4,7,7,4,7,6,4,3,2,6,7,2,5
418,1,7,2,6,1,2,1,7,9,4,7,3,5,1
419,2,1,2,3,2,4,6,1,1,4,7,5,3,2
420,1,1,1,4,4,5,7,4,2,4,7,7,4,4
421,4,4,3,5,1,2,4,2,9,2,4,6,4,4
422,7,3,2,4,2,1,1,1,4,1,2,3,3,4
423,2,2,4,6,3,3,4,3,9,2,4,4,3,4
424,997,1,2,6,2,6,3,1,2,2,5,5,4,7
425,6,1,2,4,1,4,3,4,9,1,4,3,3,7
426,6,1,2,4,1,2,6,3,5,1,1,1,4,6
