caseid,terror_worry,terror_12mo,terror_local,syrians_b,pc_a,pc_b
802,9,5,5,9,9,3
803,3,9,3,9,9,4
804,4,4,5,1,3,9
805,5,9,5,1,1,9
806,4,9,4,9,9,2
807,3,9,5,6,2,9
808,5,9,5,9,9,2
809,2,3,5,9,9,1
810,4,4,4,9,9,4
811,2,3,4,9,4,9
812,9,4,3,9,9,3
813,9,4,5,9,9,4
814,3,3,4,1,9,3
815,9,1,2,1,9,2
816,9,4,1,9,9,2
817,9,4,3,9,2,9
818,3,9,5,3,3,9
819,2,9,3,5,9,2
820,3,9,3,9,9,4
821,2,2,4,9,9,4
822,2,9,4,9,9,2
823,5,9,5,9,9,3
824,4,3,5,4,9,1
825,9,1,1,7,9,4
826,4,5,5,4,3,9
827,9,3,3,4,3,9
828,4,4,5,4,9,2
829,9,3,5,1,2,9
830,5,5,5,3,3,9
831,2,9,2,4,9,1
832,9,4,5,3,9,2
833,3,4,5,9,9,1
834,9,4,3,9,9,3
835,2,9,4,5,1,9
836,9,3,4,9,9,2
837,9,5,4,5,4,9
838,9,2,4,9,3,9
839,9,3,4,9,2,9
840,4,3,4,9,3,9
841,2,3,3,4,4,9
842,1,1,1,1,1,9
843,2,1,2,2,1,9
844,9,3,3,9,9,1
845,9,4,5,3,3,9
846,3,9,3,9,9,2
847,2,3,4,9,2,9
848,2,9,2,9,4,9
849,1,1,5,9,9,2
850,3,2,3,2,2,9
851,9,2,3,9,9,4
852,4,4,5,2,4,9
853,4,4,5,6,4,9
854,3,4,3,2,1,9
855,3,3,3,9,4,9
856,4,9,5,1,1,9
857,9,3,4,9,3,9
858,9,1,4,7,9,4
859,4,9,4,9,9,4
860,4,9,5,9,9,2
861,9,1,4,9,4,9
862,5,5,5,4,3,9
863,3,9,5,9,1,9
864,9,3,5,9,9,2
865,2,9,5,9,9,3
866,3,4,5,3,4,9
867,2,1,4,9,9,4
868,4,4,4,9,9,2
869,1,9,3,9,4,9
870,3,4,4,9,3,9
871,4,4,5,4,2,9
872,2,9,3,9,4,9
873,5,9,5,1,1,9
874,9,2,5,4,9,3
875,4,4,5,6,9,4
876,3,1,4,9,4,9
877,9,4,5,9,9,2
878,9,3,4,9,9,3
879,3,3,3,9,3,9
880,4,4,4,2,9,2
881,1,9,3,9,4,9
882,9,5,5,7,9,2
883,9,4,4,9,2,9
884,9,4,5,9,9,2
885,3,9,4,7,9,4
886,2,9,4,7,4,9
887,9,4,5,9,4,9
888,9,4,4,9,9,3
889,1,1,3,7,9,4
890,5,9,5,1,2,9
891,9,3,5,1,9,2
892,9,3,3,9,4,9
893,9,4,5,2,9,3
894,4,9,5,9,9,4
895,9,2,4,6,9,4
896,9,3,4,3,9,2
897,4,9,5,9,9,2
898,2,9,5,9,9,4
899,3,3,3,4,9,3
900,4,9,5,9,2,9
901,3,5,5,2,9,2
902,4,5,5,2,2,9
903,2,3,4,9,9,2
904,4,4,5,1,1,9
905,2,9,3,9,3,9
906,5,9,5,9,9,4
907,9,1,4,9,9,4
908,5,9,5,9,4,9
909,3,4,4,7,9,4
910,3,3,4,9,3,9
911,4,9,4,9,4,9
912,5,3,5,9,9,1
913,1,3,4,7,9,4
914,9,4,4,2,9,2
915,1,1,4,7,4,9
